Vintage,Type,Producer,Variety,Designation,Vineyard,Country,Region,SubRegion,Appellation,experiment_id,wine
2019,Red,Molino di Sant' Antimo,Merlot,Ommio,,Italy,Tuscany,,Toscana IGT,75,Molino di Sant’Antimo Ommio Merlot
2000,Red,Antinori,Sangiovese Blend,Riserva Villa Antinori,,Italy,Tuscany,Chianti,Chianti Classico DOCG,77,Antinori Villa Antinori Chianti Classico Riserva
2019,Red,Ponte Lungo,Zinfandel,Armano,,Italy,Puglia,,Puglia IGT,78,Ponte Lungo Armano Rosso
2020,Red,Vin POP - Chateau Surain,Malbec,Popcorn,,France,Bordeaux,,Bordeaux,79,Vin Pop Chateau Surain Popcorn
2023,Red,Château Grand Corbin Manuel,Red Bordeaux Blend,,,France,Bordeaux,Libournais,St. Émilion Grand Cru,80,Grand Corbin Manuel Saint Emilion Grand Cru
2020,Red,Società Agricola Nativ,Aglianico,Eremo San Quirico,,Italy,Campania,,Irpinia Campi Taurasini,81,Nativ Campania Eremo San Quirico
2018,Red,Jorge Navascues,Garnacha,Mas de Mancuso SOMERA,Almonacid de la Sierra,Spain,Aragón,,Cariñena,82,Mas de Mancuso Mancuso Garnacha
2009,Red,Faustino,Tempranillo Blend,I Gran Reserva 75th Anniversary,Bodegas Faustino,Spain,La Rioja,,Rioja,83,Bodegas Faustino I Gran Reserva
2023,Red,Bodegas Trenza,Monastrell,La Orphica Selección Tardia,,Spain,Valencia,,Valencia,86,Trenza Seleccion Tardia La Orphica Monastrell
2023,Red,Casa Ermelinda Freitas,Red Blend,Vinha do Fava Reserva,,Portugal,Península de Setúbal,,Vinho Regional Península de Setúbal,87,Casa Ermelinda Freitas Vinha do Fava Reserva Tinto
2015,Red,Château La Tour De Chollet,Red Bordeaux Blend,Cuvée Prestige,,France,Bordeaux,Entre-Deux-Mers,Sainte Foy Bordeaux,89,La Tour de Chollet Cuvee Prestige
2023,Rosé,Dominio del Aguila,Tempranillo Blend,Pícaro del Aguila Clarete Viñas Viejas,,Spain,Castilla y León,,Ribera del Duero,90,Dominio del Aguila Picaro Vinas Viejas
2022,Red,Bodegas Emilio Moro,Tempranillo,,,Spain,Castilla y León,,Ribera del Duero,91,Emilio Moro Ribera del Duero
2012,Red,Marques de Arragon,Tempranillo,Gran Reserva,,Spain,Murcia,,Jumilla,92,Marques de Arragon Reserva
2020,Red,Rebel Ridge,Zinfandel,Black Edition,,USA,California,Napa Valley,Napa Valley,94,Rebel Ridge Zin Black Edition
2022,Red,Tormaresca,Primitivo,Torcicoda,,Italy,Puglia,,Salento IGT,95,Tormaresca Primitivo Salento Torcicoda
2023,Red,Château Moulin de Blanchon,Red Bordeaux Blend,,,France,Bordeaux,Médoc,Haut-Médoc,96,Moulin de Blanchon Haut Medoc
2023,Red,Château Rocher-Gardat,Red Bordeaux Blend,,,France,Bordeaux,Libournais,Montagne-St. Émilion,97,Chateau Rocher Gardat Montagne Saint Emilion
2020,Red,Domaine Labruyere,Gamay,Vieilles Vignes,,France,Burgundy,,Bourgogne,99,Labruyere Bourgogne Gamay Vieilles Vignes Bourgogne
2022,Red,Bodegas La Cepa Alta,Tempranillo Blend,Cinco elementos,,Spain,Castilla y León,,Ribera del Duero,100,La Cepa Alta Cinco Elementos
2020,Red,350 degree de Bellevue,Red Bordeaux Blend,,,France,Bordeaux,Libournais,St. Émilion Grand Cru,101,Saint Emilion Grand Cru
2021,Red,Château du Grand Bos,Red Bordeaux Blend,,,France,Bordeaux,Graves,Graves,102,Grand Bos Graves Rouge
2021,White,Ponte Lungo,White Blend,Curioso Bianco,,Italy,Tuscany,,Toscana IGT,104,Ponte Lungo Curioso
2019,Red,Château Graves de Peyroutas,Red Bordeaux Blend,,,France,Bordeaux,Libournais,St. Émilion Grand Cru,105,Chateau de Saint Pey Saint Emilion Grand Cru
2015,Red,Taron,Tempranillo,Pantocrator,,Spain,La Rioja,La Rioja Alta,Rioja,106,Taron Pantocrator
2019,Red,Château Grand Français,Red Bordeaux Blend,Cuvée Heritage,,France,Bordeaux,,Bordeaux Supérieur,107,Chateau Grand Francais Cuvee Heritage Bordeaux Superieur
2019,Red,Savoni,Zinfandel,ZFD Edizione Suprema,,Italy,Puglia,,Puglia IGT,109,Savoni ZFD Edizione Suprema Zinfandel
2023,Red,Tenuta Guado al Tasso (Antinori),Red Blend,Il Bruciato,,Italy,Tuscany,Bolgheri,Bolgheri,112,Antinori Tuscany Marchesi Antinori Tenuta Guado al Tasso Il Bruciato Bolgheri
2020,Red,Château Saincrit,Red Bordeaux Blend,Fougue,,France,Bordeaux,,Bordeaux,113,Chateau Saincrit Fougue
2015,Red,Capafons-Ossó,Red Blend,Sirsell,,Spain,Catalunya,,Priorat,114,Capafons-Osso Sirsell
